23.09.2026                                   Salida dinámica de lista                                                                                        1


		Material	Alm.	Grupo art.	Texto breve material	UMB	LibrUtiliz	Insp.cal.	Bloqueado	Valor libre util.	Valor en insp.cal.	Valor stock bloq.
		266057	0280	MGR052	BLOCK REG. DIARIO JARABE EN TANQUE C	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266059	0230	MGR052	T/R CHECK LIST MATERIA PRIMA CART.	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266059	0231	MGR052	T/R CHECK LIST MATERIA PRIMA CART.	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266059	0280	MGR052	T/R CHECK LIST MATERIA PRIMA CART.	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266060	0230	MGR052	REQ. DEVOLUCION AL ALMACEN MAT PRIMA	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266060	0231	MGR052	REQ. DEVOLUCION AL ALMACEN MAT PRIMA	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266060	0280	MGR052	REQ. DEVOLUCION AL ALMACEN MAT PRIMA	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266061	0230	MGR052	CONTROL DE ETIQUETAS MATERIA PRIMA	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266061	0231	MGR052	CONTROL DE ETIQUETAS MATERIA PRIMA	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266061	0280	MGR052	CONTROL DE ETIQUETAS MATERIA PRIMA	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266062	0230	MGR052	SENSIBILIZADO ENVIO DE JUMBOS	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266062	0231	MGR052	SENSIBILIZADO ENVIO DE JUMBOS	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266062	0280	MGR052	SENSIBILIZADO ENVIO DE JUMBOS	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266063	0230	MGR052	TAMAÑO CARTA MOVIMIENTO DIARIO DE CO2	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266063	0231	MGR052	TAMAÑO CARTA MOVIMIENTO DIARIO DE CO2	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266063	0280	MGR052	TAMAÑO CARTA MOVIMIENTO DIARIO DE CO2	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266064	0230	MGR052	TIRO Y RETIRO CONTROL DE PROCESO F-005	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266064	0231	MGR052	TIRO Y RETIRO CONTROL DE PROCESO F-005	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266064	0280	MGR052	TIRO Y RETIRO CONTROL DE PROCESO F-005	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266065	0230	MGR052	TIRO Y RETIRO PREFORMA UTILIZADA F-001	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266065	0231	MGR052	TIRO Y RETIRO PREFORMA UTILIZADA F-001	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266065	0280	MGR052	TIRO Y RETIRO PREFORMA UTILIZADA F-001	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266066	0230	MGR052	T/R NUM REGISTRO DE PROD. SOPLADO F-021	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266066	0231	MGR052	T/R NUM REGISTRO DE PROD. SOPLADO F-021	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266066	0280	MGR052	T/R NUM REGISTRO DE PROD. SOPLADO F-021	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266067	0230	MGR052	NUMERADO ORDEN DE PRODUCCION F-012	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266067	0231	MGR052	NUMERADO ORDEN DE PRODUCCION F-012	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266067	0280	MGR052	NUMERADO ORDEN DE PRODUCCION F-012	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266068	0230	MGR052	P/SENSIBI CONTROL ENVASE ENTR.PLASTICS	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266068	0231	MGR052	P/SENSIBI CONTROL ENVASE ENTR.PLASTICS	UN	        0	       0	       0	            0.00	             0.00	            0.00
		266068	0280	MGR052	P/SENSIBI CONTROL ENVASE ENTR.PLASTICS	UN	        0	       0	       0	            0.00	             0.00	            0.00
